cells,steps,density,threads_or_ranks,wall_time
20000000,500,0.30,4,0.923219
20000000,500,0.30,4,0.950333
20000000,500,0.30,4,0.931577
20000000,500,0.30,4,1.561743
20000000,500,0.30,4,0.953979
20000000,500,0.30,4,0.926350
20000000,500,0.30,4,0.949153
20000000,500,0.30,4,0.948595
20000000,500,0.30,4,0.937348
20000000,500,0.30,4,1.046210
20000000,500,0.30,4,0.948946
20000000,500,0.30,4,0.923375
20000000,500,0.30,4,0.947718
20000000,500,0.30,4,1.601928
10000000,500,0.30,4,0.437527
10000000,500,0.30,4,0.439430
10000000,500,0.30,4,0.435420
10000000,500,0.30,4,0.435832
10000000,500,0.30,4,0.437102
10000000,500,0.30,4,0.440335
10000000,500,0.30,4,0.805471
10000000,500,0.30,4,0.451059
10000000,500,0.30,4,0.435297
10000000,500,0.30,4,0.847175
5000000,1000,0.30,4,0.464609
5000000,1000,0.30,4,0.410098
5000000,1000,0.30,4,0.804861
5000000,1000,0.30,4,0.385867
5000000,1000,0.30,4,0.374581
5000000,1000,0.30,4,0.380900
5000000,1000,0.30,4,0.664620
5000000,1000,0.30,4,0.546776
5000000,1000,0.30,4,0.654694
5000000,1000,0.30,4,0.373126
5000000,5000,0.30,4,1.953217
5000000,5000,0.30,4,2.050710
5000000,5000,0.30,4,1.952415
5000000,5000,0.30,4,2.465403
5000000,5000,0.30,4,2.287226
5000000,5000,0.30,4,2.105026
5000000,5000,0.30,4,2.297047
5000000,5000,0.30,4,2.421877
5000000,5000,0.30,4,2.012262
5000000,5000,0.30,4,2.257666
5000000,1000,0.30,4,0.457108
5000000,1000,0.30,4,0.376857
5000000,1000,0.30,4,0.592858
5000000,1000,0.30,4,0.680104
5000000,1000,0.30,4,0.387312
5000000,1000,0.30,4,0.387979
5000000,1000,0.30,4,0.392106
5000000,1000,0.30,4,0.377308
5000000,1000,0.30,4,0.486365
5000000,1000,0.30,4,0.484862
5000000,2000,0.30,4,0.797068
5000000,2000,0.30,4,0.788708
5000000,2000,0.30,4,0.786873
5000000,2000,0.30,4,0.789843
