Archivo,Ejecución,Tamaño,Tiempo (s)
2procesos.doc,63,3500x3500,103.2441
2procesos.doc,64,4000x4000,117.5387
2procesos.doc,65,4500x4500,221.1118
2procesos.doc,66,5000x5000,257.3261
2procesos.doc,67,1000x1000,1.4278
2procesos.doc,68,1500x1500,6.6042
2procesos.doc,69,2000x2000,12.4467
2procesos.doc,70,2500x2500,35.6121
2procesos.doc,71,3000x3000,52.9474
2procesos.doc,72,3500x3500,102.8810
2procesos.doc,73,4000x4000,119.0364
2procesos.doc,74,4500x4500,220.1084
2procesos.doc,75,5000x5000,258.8601
2procesos.doc,76,1000x1000,1.4240
2procesos.doc,77,1500x1500,6.6353
2procesos.doc,78,2000x2000,12.5000
2procesos.doc,79,2500x2500,35.6396
2procesos.doc,80,3000x3000,51.8627
2procesos.doc,81,3500x3500,102.4452
2procesos.doc,82,4000x4000,117.0998
2procesos.doc,83,4500x4500,221.8690
2procesos.doc,84,5000x5000,257.9594
2procesos.doc,85,1000x1000,1.4167
2procesos.doc,86,1500x1500,6.5758
2procesos.doc,87,2000x2000,12.6180
2procesos.doc,88,2500x2500,35.5678
2procesos.doc,89,3000x3000,51.8590
2procesos.doc,90,3500x3500,103.0405
2procesos.doc,91,4000x4000,117.3048
2procesos.doc,92,4500x4500,220.6059
2procesos.doc,93,5000x5000,258.8682
4hilos.doc,1,1000x1000,1.1122
4hilos.doc,2,1500x1500,4.1681
4hilos.doc,3,2000x2000,12.9187
4hilos.doc,4,2500x2500,22.4386
4hilos.doc,5,3000x3000,43.2088
4hilos.doc,6,3500x3500,69.0032
4hilos.doc,7,4000x4000,107.0290
4hilos.doc,8,4500x4500,139.3153
4hilos.doc,9,5000x5000,213.9494
4hilos.doc,10,1000x1000,0.8753
4hilos.doc,11,1500x1500,3.9059
4hilos.doc,12,2000x2000,12.3984
4hilos.doc,13,2500x2500,23.3870
4hilos.doc,14,3000x3000,47.0848
4hilos.doc,15,3500x3500,69.3226
4hilos.doc,16,4000x4000,116.3428
4hilos.doc,17,4500x4500,156.1987
4hilos.doc,18,5000x5000,234.6759
4hilos.doc,19,1000x1000,0.8866
4hilos.doc,20,1500x1500,3.8736
4hilos.doc,21,2000x2000,12.4460
4hilos.doc,22,2500x2500,23.5457
4hilos.doc,23,3000x3000,47.1641
4hilos.doc,24,3500x3500,68.9470
4hilos.doc,25,4000x4000,116.0589
4hilos.doc,26,4500x4500,155.7522
4hilos.doc,27,5000x5000,233.0963
4hilos.doc,28,1000x1000,0.8840
4hilos.doc,29,1500x1500,3.8557
4hilos.doc,30,2000x2000,12.4301
4hilos.doc,31,2500x2500,23.5493
4hilos.doc,32,3000x3000,47.1637
4hilos.doc,33,3500x3500,68.5663
4hilos.doc,34,4000x4000,115.5935
4hilos.doc,35,4500x4500,155.0702
4hilos.doc,36,5000x5000,232.9069
4hilos.doc,37,1000x1000,0.8825
4hilos.doc,38,1500x1500,3.8939
4hilos.doc,39,2000x2000,12.3964
4hilos.doc,40,2500x2500,23.4772
4hilos.doc,41,3000x3000,46.8757
4hilos.doc,42,3500x3500,68.7152
4hilos.doc,43,4000x4000,115.9259
4hilos.doc,44,4500x4500,155.3348
4hilos.doc,45,5000x5000,234.1571
4hilos.doc,46,1000x1000,0.8883
4hilos.doc,47,1500x1500,3.8759
4hilos.doc,48,2000x2000,12.4891
4hilos.doc,49,2500x2500,23.5424
4hilos.doc,50,3000x3000,46.8674
4hilos.doc,51,3500x3500,69.0790
4hilos.doc,52,4000x4000,115.5196
4hilos.doc,53,4500x4500,153.9391
4hilos.doc,54,5000x5000,233.6909
4hilos.doc,55,1000x1000,0.8561
4hilos.doc,56,1500x1500,3.8473
4hilos.doc,57,2000x2000,12.4537
4hilos.doc,58,2500x2500,23.2079
4hilos.doc,59,3000x3000,46.8287
4hilos.doc,60,3500x3500,68.6594
4hilos.doc,61,4000x4000,115.4281
4hilos.doc,62,4500x4500,154.6605
4hilos.doc,63,5000x5000,232.5650
4hilos.doc,64,1000x1000,0.8688
4hilos.doc,65,1500x1500,3.9389
4hilos.doc,66,2000x2000,12.3978
4hilos.doc,67,2500x2500,23.1262
4hilos.doc,68,3000x3000,46.7150
4hilos.doc,69,3500x3500,68.3548
4hilos.doc,70,4000x4000,115.4337
4hilos.doc,71,4500x4500,152.1651
4hilos.doc,72,5000x5000,232.2653
4hilos.doc,73,1000x1000,0.8665
4hilos.doc,74,1500x1500,3.8784
4hilos.doc,75,2000x2000,12.3303
4hilos.doc,76,2500x2500,23.1068
4hilos.doc,77,3000x3000,46.5735
4hilos.doc,78,3500x3500,68.4977
4hilos.doc,79,4000x4000,114.9495
4hilos.doc,80,4500x4500,155.1851
4hilos.doc,81,5000x5000,232.3329
4hilos.doc,82,1000x1000,0.8634
4hilos.doc,83,1500x1500,3.8594
4hilos.doc,84,2000x2000,12.3649
4hilos.doc,85,2500x2500,23.4774
4hilos.doc,86,3000x3000,46.9084
4hilos.doc,87,3500x3500,68.6037
