Archivo,Ejecución,Tamaño,Tiempo (s)
8procesos.doc,65,1500x1500,2.8431
8procesos.doc,66,2000x2000,6.9618
8procesos.doc,67,2500x2500,14.7491
8procesos.doc,68,3000x3000,25.8841
8procesos.doc,69,3500x3500,42.0464
8procesos.doc,70,4000x4000,63.3219
8procesos.doc,71,4500x4500,90.0761
8procesos.doc,72,5000x5000,124.4080
8procesos.doc,73,1000x1000,0.8258
8procesos.doc,74,1500x1500,2.8896
8procesos.doc,75,2000x2000,7.0429
8procesos.doc,76,2500x2500,14.8431
8procesos.doc,77,3000x3000,25.8798
8procesos.doc,78,3500x3500,42.0888
8procesos.doc,79,4000x4000,63.2271
8procesos.doc,80,4500x4500,90.2372
8procesos.doc,81,5000x5000,124.8449
8procesos.doc,82,1000x1000,0.7978
8procesos.doc,83,1500x1500,2.8498
8procesos.doc,84,2000x2000,6.9594
8procesos.doc,85,2500x2500,14.6886
8procesos.doc,86,3000x3000,25.6962
8procesos.doc,87,3500x3500,42.9584
8procesos.doc,88,4000x4000,63.3698
8procesos.doc,89,4500x4500,89.9273
8procesos.doc,90,5000x5000,122.9131
hilos82.doc,1,1000x1000,0.8091
hilos82.doc,2,1500x1500,3.7601
hilos82.doc,3,2000x2000,6.9968
hilos82.doc,4,2500x2500,14.4802
hilos82.doc,5,3000x3000,26.6387
hilos82.doc,6,3500x3500,44.7436
hilos82.doc,7,4000x4000,69.2211
hilos82.doc,8,4500x4500,101.5143
hilos82.doc,9,5000x5000,141.0447
hilos82.doc,10,1000x1000,0.9974
hilos82.doc,11,1500x1500,3.4208
hilos82.doc,12,2000x2000,7.7606
hilos82.doc,13,2500x2500,16.3362
hilos82.doc,14,3000x3000,28.9952
hilos82.doc,15,3500x3500,48.1060
hilos82.doc,16,4000x4000,73.7642
hilos82.doc,17,1000x1000,0.8672
hilos82.doc,18,1500x1500,3.0887
hilos82.doc,19,2000x2000,7.3005
hilos82.doc,20,2500x2500,15.5033
hilos82.doc,21,1000x1000,0.8952
hilos82.doc,22,1500x1500,3.2501
hilos82.doc,23,2000x2000,7.7452
hilos82.doc,24,2500x2500,16.4630
hilos82.doc,25,1000x1000,0.9461
hilos82.doc,26,1500x1500,3.3301
