Run,K,NK,Iteraciones,Tiempo(s),Error_Jacobi,Error_Discretizacion
7,5,33,3088,0.002692,1.01253e-07,0.000151292
7,7,129,49520,0.202305,1.01324e-07,9.66047e-06
7,8,257,198122,0.640086,1.01316e-07,2.4953e-06
7,9,513,792553,3.568603,1.0132e-07,7.00003e-07
7,10,1025,1000000,9.189396,0.0027643,0.00276444
7,11,2049,1000000,18.838135,0.0943204,0.0943205
7,12,4097,1000000,36.069906,0.228653,0.228653
7,13,8193,1000000,74.759024,0.287577,0.287577
7,14,16385,1000000,147.900094,0.305459,0.305459
7,15,32769,1000000,299.986530,0.310239,0.310239
7,16,65537,1000000,679.898049,0.311461,0.311461
1,1,3,1,0.000072,0,0.0297466
1,2,5,43,0.000091,8.92018e-08,0.00869653
1,3,9,188,0.000145,9.82294e-08,0.00231152
1,4,17,768,0.000635,1.00098e-07,0.00059568
1,5,33,3088,0.004380,1.01253e-07,0.000151292
1,5,33,3088,0.004455,1.01253e-07,0.000151292
1,7,129,49520,0.253978,1.01324e-07,9.66047e-06
1,8,257,198122,0.542345,1.01316e-07,2.4953e-06
1,9,513,792553,3.574872,1.0132e-07,7.00003e-07
1,10,1025,1000000,8.963231,0.0027643,0.00276444
